,name,timestamp,price,volume,market_cap_x,date,SMA_50,SMA_100,EMA_50,EMA_100,MACD,MACD_Signal,RSI,SMA_20,EMA_20,OBV,SIGNAL,circulating_supply,max_supply
2282,ripple,1637280000000,1.0375367096779058,4952670979.680258,48929167670.27969,2021-11-19 00:00:00,1.118723149768714,,1.1305642836633119,,-8.063668495816856e-06,0.01950510504635771,37.955773584984954,1.165478452527104,1.147302640387789,12.0,0.019505122320416804,52841868447.0,100000000000.0
2283,ripple,1637366400000,1.0913054764142485,3888778263.5930333,51349868689.57812,2021-11-20 00:00:00,1.1214893264855013,,1.1290247225947212,,-0.004188916177111812,0.014766300801663808,44.741615342509064,1.166248764080039,1.1419695771522138,13.0,0.014766312724359866,52841868447.0,100000000000.0
2284,ripple,1637452800000,1.1003032895930926,2851544952.4843826,51889175238.31417,2021-11-21 00:00:00,1.1226729279475136,,1.127898391888775,,-0.006699001664728144,0.01047324030838542,45.80972366529425,1.1655445138751799,1.1380013592894402,14.0,0.01047324847201711,52841868447.0,100000000000.0
2285,ripple,1637539200000,1.069316317572408,2255387934.7151833,50711625089.19429,2021-11-22 00:00:00,1.123257354919868,,1.1256010556410745,,-0.011061146163345636,0.006166363014039209,42.745408454707594,1.1643376621487254,1.131459926744961,15.0,0.006166368441785683,52841868447.0,100000000000.0
2286,ripple,1637625600000,1.0367725124482448,3053644475.667097,48855446959.72306,2021-11-23 00:00:00,1.1228761909474323,,1.1221175833590027,,-0.016948814812755897,0.0015433274486801882,39.73888036537826,1.1593433513820408,1.1224420777643214,14.0,0.0015433308435661007,52841868447.0,100000000000.0
2287,ripple,1637712000000,1.0666446242962693,3406271729.2301126,50301867085.74057,2021-11-24 00:00:00,1.1233349387197402,,1.11994217319968,,-0.01898555124464263,-0.002562448289984375,43.65632817805605,1.1522314628233707,1.1171280345768877,13.0,-0.002562446247130763,52841868447.0,100000000000.0
2288,ripple,1637798400000,1.0324344122101776,3196925598.8004704,48664111213.885345,2021-11-25 00:00:00,1.1222760062055994,,1.116510496298131,,-0.023093945125556292,-0.006668747657098758,40.415966307151756,1.1438074920843582,1.1090619753038677,14.0,-0.0066687465613285805,52841868447.0,100000000000.0
2289,ripple,1637884800000,1.0425045005327793,3323374794.836688,49163443594.61245,2021-11-26 00:00:00,1.1215588776332204,,1.1136083003857642,,-0.02524628148942032,-0.01038425442356307,41.785706301766695,1.1378178956537321,1.1027231681828118,13.0,-0.010384253936757277,52841868447.0,100000000000.0
2290,ripple,1637971200000,0.9395105333823327,4293632294.1260257,44210729012.078995,2021-11-27 00:00:00,1.1189702661495458,,1.106780936973865,,-0.03486092096041005,-0.015279587730932466,33.34308659743361,1.12719355371755,1.0871791077256234,12.0,-0.015279587752360772,52841868447.0,100000000000.0
2291,ripple,1638057600000,0.9410355855791527,2784594053.442488,44336654042.92713,2021-11-28 00:00:00,1.1165616777939276,,1.1002811192721116,,-0.04187482611473947,-0.02059863540769387,33.55715634442981,1.1132808237185057,1.0732606770450073,13.0,-0.020598635781985255,52841868447.0,100000000000.0
2292,ripple,1638144000000,0.9667814783314153,3009148429.120391,45579229249.57213,2021-11-29 00:00:00,1.1126136149147048,1.1032820516407138,1.0950458392352216,1.1142348501712886,-0.04483904154470575,-0.025446716635096248,37.222558566894854,1.0972654450165922,1.0631198009770462,12.0,-0.02544671719494982,52841868447.0,100000000000.0
2293,ripple,1638230400000,0.9913792344534323,3236264412.1393714,46807842263.10092,2021-11-30 00:00:00,1.1097198627792404,1.1009984620878037,1.0909804821849554,1.111802065701628,-0.04468823215908024,-0.029295019739893048,40.59444327424352,1.0837487919454243,1.0562873660700354,11.0,-0.029295020353148852,52841868447.0,100000000000.0
2294,ripple,1638316800000,0.9976494002579189,3219272264.014356,47048123045.71624,2021-12-01 00:00:00,1.1070121070164383,1.0987284684452623,1.0873204397564442,1.1095416168809604,-0.043560624887829746,-0.03214814076948039,41.457635620471166,1.0742155975263106,1.0507027978974528,12.0,-0.03214814135817066,52841868447.0,100000000000.0
2295,ripple,1638403200000,0.9903099747669621,4045490613.2193785,46758577987.40217,2021-12-02 00:00:00,1.1047889536018178,1.096143899561543,1.0835161077960724,1.1071805942648418,-0.042766235755640425,-0.0342717597667124,40.71192576870762,1.0628496594803032,1.0449511004564536,11.0,-0.03427176029606984,52841868447.0,100000000000.0
2296,ripple,1638489600000,0.9792298396544113,3089519334.539089,46300485388.87274,2021-12-03 00:00:00,1.1018044045611144,1.09447740434543,1.0794264502218898,1.1046469159557244,-0.04254037201996197,-0.03592548221736232,39.55518395964798,1.0521004974344308,1.038691932761021,12.0,-0.035925482677233715,52841868447.0,100000000000.0
2297,ripple,1638576000000,0.9217083373410974,3067689842.36456,43548226427.108055,2021-12-04 00:00:00,1.097591977974845,1.091985719950124,1.0732414261873489,1.1010243698445437,-0.04646723255951013,-0.03803383228579188,34.13316324988304,1.0385013063847588,1.0275506379591235,13.0,-0.03803383269079959,52841868447.0,100000000000.0
2298,ripple,1638662400000,0.8432874106920727,6263701028.878763,39946504040.82354,2021-12-05 00:00:00,1.0915425352349766,1.0894634602047075,1.0642236216581222,1.0959206676831086,-0.055270092001989735,-0.041481084229031455,28.41461299829804,1.0210189326565278,1.0100017591717854,12.0,-0.04148108460157967,52841868447.0,100000000000.0
2299,ripple,1638748800000,0.8021016424347099,3815886284.097819,37897133536.91342,2021-12-06 00:00:00,1.0848126533036633,1.08567866468354,1.0539443283552432,1.0901024691633383,-0.06482253499310109,-0.04614937438184538,25.955188595097553,1.0023460135056719,0.9902017480539687,13.0,-0.046149374732472714,52841868447.0,100000000000.0
2300,ripple,1638835200000,0.8241786091202077,3785804089.062999,38940210511.585495,2021-12-07 00:00:00,1.0794459142327455,1.0824355949092128,1.044933907993085,1.0848366501525832,-0.06980679885460905,-0.05088085927639812,29.478802576289397,0.9887224756928893,0.9743900205364676,14.0,-0.0508808595995405,52841868447.0,100000000000.0
2301,ripple,1638921600000,0.8170006530986526,3236833724.1647673,38601071500.418205,2021-12-08 00:00:00,1.0741612103089826,1.0791650755854998,1.0359953489776172,1.0795329670426044,-0.07348893029363979,-0.055402473479846455,28.99566278452599,0.9745495270928746,0.9594005569709614,15.0,-0.05540247377095968,52841868447.0,100000000000.0
2302,ripple,1639008000000,0.8604950737122439,3573691587.60382,40656065255.449844,2021-12-09 00:00:00,1.0694833697589488,1.0767081339720908,1.0291129852417202,1.0751955830162605,-0.07206667002976053,-0.058735312789829276,35.855871349658756,0.9656974452945916,0.9499809871367978,14.0,-0.05873531304194277,52841868447.0,100000000000.0
2303,ripple,1639094400000,0.8668183425176378,4568607272.285156,40954822606.92518,2021-12-10 00:00:00,1.0639487965561027,1.0734602130614155,1.022748489448619,1.071069301026189,-0.0696266706587152,-0.060913584363606464,36.8117040032962,0.9544730885997611,0.9420607352683064,13.0,-0.060913584575348206,52841868447.0,100000000000.0
2304,ripple,1639180800000,0.7987992644903693,3711198782.3999896,37741105109.436134,2021-12-11 00:00:00,1.0580655523670066,1.0691296372123718,1.0139661669012365,1.0656778151541926,-0.07234754722592662,-0.0632003769360705,31.392615606162863,0.9393978873446247,0.9284167856704076,14.0,-0.06320037711390523,52841868447.0,100000000000.0
2305,ripple,1639267200000,0.8370445571139629,2958769246.612882,39548091761.79502,2021-12-12 00:00:00,1.0529366318959037,1.0649268276544768,1.0070280645566376,1.0611504239058713,-0.0706039081194274,-0.06468108317274189,37.00774062777169,0.9277842993217027,0.9197146686650319,15.0,-0.06468108331938231,52841868447.0,100000000000.0
2306,ripple,1639353600000,0.8398763961847019,2575643244.7269173,39681888499.94044,2021-12-13 00:00:00,1.0478310600833711,1.0604130677716037,1.0004730971695028,1.0567687599906006,-0.06820730447057943,-0.0653863274323094,37.41617841214122,0.9179394935085254,0.9121110236669052,16.0,-0.06538632755128786,52841868447.0,100000000000.0
2307,ripple,1639440000000,0.7815983218419756,3029881075.4716115,36975860235.2817,2021-12-14 00:00:00,1.0417647536832,1.0556968018407986,0.9918897726468547,1.051319840423301,-0.07020129552551047,-0.06634932105094962,32.71499787516797,0.9036871783858107,0.8996812425407215,15.0,-0.06634932114795242,52841868447.0,100000000000.0
2308,ripple,1639526400000,0.8113031482462705,3764420162.373208,38320974597.67936,2021-12-15 00:00:00,1.0360742493620732,1.0508250006794837,0.9848079442389888,1.0465670346376172,-0.0685939086841536,-0.06679823857759043,37.05617159215064,0.8926306151876153,0.8912642811793452,14.0,-0.0667982386558714,52841868447.0,100000000000.0
2309,ripple,1639612800000,0.8291672579272524,3907096831.805005,39175910677.259605,2021-12-16 00:00:00,1.0305430516528657,1.045205368789722,0.9787043879130384,1.0422620885641447,-0.06512780587168288,-0.06646415203640892,39.58083036414385,0.881963753057339,0.8853502789648602,13.0,-0.06646415209862959,52841868447.0,100000000000.0
2310,ripple,1639699200000,0.8097740287353964,2977216204.777967,38189684295.14045,2021-12-17 00:00:00,1.0268017971751755,1.0419896284652557,0.9720796679452877,1.0376583646071398,-0.0632170392632948,-0.0658147294817861,37.80792398871295,0.8754769278249922,0.8781525408477684,14.0,-0.06581472953093422,52841868447.0,100000000000.0
2311,ripple,1639785600000,0.8015706035608363,3150197393.749876,37872043386.174675,2021-12-18 00:00:00,1.0216576052890318,1.038948645220202,0.9653930379694269,1.032983359437906,-0.061653982085311254,-0.06498258000249113,37.051890476106145,0.8685036787240765,0.8708590230109177,13.0,-0.06498258004116543,52841868447.0,100000000000.0
2312,ripple,1639872000000,0.8298301709115998,2814179207.0815516,39207231523.100174,2021-12-19 00:00:00,1.0165860009592784,1.0363344850144245,0.9600768471044141,1.0289605240215436,-0.05747243069468988,-0.06348055014093087,41.399164298314176,0.8616561133530857,0.8669515132871731,14.0,-0.0634805501709401,52841868447.0,100000000000.0
2313,ripple,1639958400000,0.8360810885092015,2607034699.0666575,39502570475.66171,2021-12-20 00:00:00,1.0117896378223514,1.0341597689247928,0.9552142683359744,1.0251411292589228,-0.05304268127038081,-0.06139297636682087,42.3476145034373,0.853891206055874,0.8640114728321282,15.0,-0.06139297638979397,52841868447.0,100000000000.0
2314,ripple,1640044800000,0.8870321270036085,5198337121.310719,41949396100.263,2021-12-21 00:00:00,1.007242514488618,1.0322778808804696,0.9525404588719601,1.0224062975310946,-0.044903134562090385,-0.058095008005874776,49.51942735239668,0.8483603423931585,0.8662039160865549,14.0,-0.058095008022946086,52841868447.0,100000000000.0
2315,ripple,1640131200000,0.9505444057615736,4640780123.246594,44974972561.30616,2021-12-22 00:00:00,1.0043843355618194,1.0306134823288002,0.952462182279396,1.0209832897732822,-0.03294777362690182,-0.05306556113008019,56.743076336728045,0.8463720639428891,0.874236343674652,15.0,-0.053065561142142476,52841868447.0,100000000000.0
2316,ripple,1640217600000,0.9581270482180488,4280427620.6701674,45235063039.09493,2021-12-23 00:00:00,1.0008137019705416,1.029508711324202,0.9526843338848334,1.0197386117226834,-0.02260068148882266,-0.04697258520182868,57.524556308464916,0.845316924371071,0.8822259345835469,16.0,-0.046972585209932916,52841868447.0,100000000000.0
2317,ripple,1640304000000,0.9961806163957586,5340836026.841107,47262504686.86194,2021-12-24 00:00:00,0.9965596663890635,1.0285074043532032,0.9543900704538893,1.0192721167657146,-0.011200815469156078,-0.03981823125529416,61.30288947543504,0.849040538323804,0.8930787614228053,15.0,-0.03981823126032569,52841868447.0,100000000000.0
2318,ripple,1640390400000,0.9138028897022306,3956089362.117495,43438501700.20997,2021-12-25 00:00:00,0.9908174476432994,1.0264565939816712,0.9527984163067654,1.0171836172199031,-0.00871309447238644,-0.03359720389871262,50.773593598074754,0.852566312274312,0.8950524879256077,16.0,-0.033597203901727865,52841868447.0,100000000000.0
2319,ripple,1640476800000,0.9278571385084833,2459150767.314069,44106583972.1587,2021-12-26 00:00:00,0.9861286618305632,1.0248255890256608,0.9518203269813427,1.0154147760573007,-0.005543594134562291,-0.027986481945882553,52.279526583787906,0.8588540870780006,0.898176740362072,17.0,-0.027986481947566047,52841868447.0,100000000000.0
2320,ripple,1640563200000,0.9218739334180142,2279713280.89258,43822166547.54349,2021-12-27 00:00:00,0.9815261930568039,1.0233677457756234,0.9506459586063102,1.0135624821436513,-0.003474485225995916,-0.02308408260190523,51.556421829318886,0.8637388532928908,0.9004336158912093,18.0,-0.02308408260274265,52841868447.0,100000000000.0
2321,ripple,1640649600000,0.9281516465629353,2696398138.77489,44120583696.57214,2021-12-28 00:00:00,0.975703422276862,1.0218911350811033,0.9497638287222563,1.0118711784687857,-0.0013130069957467683,-0.018729867480673536,52.301879686044224,0.869296402966105,0.9030734283361356,17.0,-0.018729867480981544,52841868447.0,100000000000.0
2322,ripple,1640736000000,0.8579611972670144,2998170978.022172,40784012992.497345,2021-12-29 00:00:00,0.9671208651748084,1.0199805304502028,0.946163725527933,1.0088234560687506,-0.005203816223622204,-0.016024657229263273,44.125869919115914,0.8691697091438435,0.8987770253771716,16.0,-0.01602465722932979,52841868447.0,100000000000.0
2323,ripple,1640822400000,0.8197794434093449,2780329731.337543,38969006497.60233,2021-12-30 00:00:00,0.9582822081254596,1.0189588014221647,0.9412074791703413,1.005080010273515,-0.011238706197371329,-0.015067467022884884,40.423962750693846,0.8668177641884289,0.8912534461421404,17.0,-0.015067467022887174,52841868447.0,100000000000.0
2324,ripple,1640908800000,0.8404662013408024,2375836806.16021,39952371487.69365,2021-12-31 00:00:00,0.9513252663794717,1.0186956944364483,0.9372568408240849,1.0018203308887086,-0.014188594219909034,-0.014891692462289715,43.204125845735874,0.8689011110309506,0.88641656568487,18.0,-0.014891692462284062,52841868447.0,100000000000.0
2325,ripple,1640995200000,0.8313977181010497,2252303692.382884,39521292390.58477,2022-01-01 00:00:00,0.9436006460277505,1.0170394691605074,0.9331055026780836,0.9984456256849926,-0.017061478436522504,-0.015325649657136273,42.27283162687344,0.8686187690803049,0.881176675438792,19.0,-0.015325649657146523,52841868447.0,100000000000.0
